GENE,logFC,PValue,FDR
Thoc7,-0.845497268397731,1.36183201749007e-6,1.12845220741959e-4
Nfkbia,1.70597192363982,1.37190083044644e-6,1.13295324283071e-4
Dhrs4,-1.07630736867085,1.37560090560409e-6,1.13295324283071e-4
Rif1,-1.28930589043135,1.39323957431676e-6,1.14401384865122e-4
Chaf1b,-1.85013245389047,1.40845072993969e-6,1.15122997231088e-4
Ccdc184,3.29641012372275,1.4104992118162e-6,1.15122997231088e-4
C2cd2,-1.01951455093686,1.43461785669898e-6,1.16514523663411e-4
Lman1,-0.96613833405799,1.43612220564563e-6,1.16514523663411e-4
Atp5f1,-0.740967198088002,1.44874444098065e-6,1.16798102730541e-4
Ddx19a,-0.805932710237507,1.45044863516395e-6,1.16798102730541e-4
Pmaip1,2.50009263263387,1.45592961583668e-6,1.16798102730541e-4
Anxa9,-2.00356464845564,1.45680697691797e-6,1.16798102730541e-4
Pla2g12a,-1.45533055740289,1.46879610719638e-6,1.17412968816148e-4
Dolpp1,-1.14690477825173,1.51278092141988e-6,1.20574406637158e-4
Cs,-1.14052597476898,1.54578682978979e-6,1.22844854522973e-4
Eid1,-0.8494335707854,1.55680099405545e-6,1.23169970026913e-4
Mrpl48,-0.687266294369745,1.55894145072512e-6,1.23169970026913e-4
Eci2,-0.943443003062467,1.57963633119275e-6,1.24102933271339e-4
Qars,-0.777718398619326,1.58406534880515e-6,1.24102933271339e-4
Carnmt1,-1.10737108179042,1.58444820799716e-6,1.24102933271339e-4
Nsmce1,-0.958011734135197,1.5990303751165e-6,1.24663540976255e-4
Desi1,-1.03259764204429,1.6007791236143e-6,1.24663540976255e-4
Pdrg1,0.997174436438292,1.61010549772097e-6,1.24785930322942e-4
Ccdc181,-1.22057351515957,1.61153322577551e-6,1.24785930322942e-4
Cyth3,-0.970813184127619,1.61904588450938e-6,1.25011500270115e-4
Shoc2,-0.910991039278076,1.63093822830673e-6,1.25573003136398e-4
Palb2,-1.1807077010949,1.6410714106569e-6,1.25867340667804e-4
Mrpl50,-0.765799674389959,1.64402317734539e-6,1.25867340667804e-4
Zg16,-3.57294237303332,1.65264688020822e-6,1.2617216167747e-4
Rnf168,-1.14645445689891,1.6689482585895e-6,1.26810001535954e-4
Fancm,-1.45126169695772,1.67033299789807e-6,1.26810001535954e-4
Opa1,-0.793118414971662,1.73746603551091e-6,1.31539246181479e-4
Eny2,-0.711997945303434,1.74781460243046e-6,1.31955147442937e-4
Cfap20,-0.923104306153613,1.76286810073528e-6,1.32722969833474e-4
Dut,-2.05471196116317,1.77016929711839e-6,1.32904506426466e-4
Ftsj1,-1.15583972456483,1.77846096155185e-6,1.33159202407762e-4
Map2k6,-1.37642922929587,1.79362523233736e-6,1.33925659861805e-4
Arhgap35,0.998732658607686,1.79989042832174e-6,1.34025265620155e-4
Tecr,-1.02967882399728,1.80923796841016e-6,1.34353220610436e-4
Rsph3b,-1.03868520893188,1.82820273887028e-6,1.35225986391799e-4
Tsn,-0.704090906477929,1.8309416458362e-6,1.35225986391799e-4
Prorsd1,-0.860754544746637,1.89406692975721e-6,1.39509065267944e-4
Slc25a46,-0.937442539023909,1.94125199206939e-6,1.42598075385011e-4
Hars,-1.09772953994199,1.9550161601694e-6,1.43222059884755e-4
Lancl1,-0.756149633301888,1.96344973690157e-6,1.43453226879698e-4
Lias,-0.842202057673114,2.00676309269772e-6,1.46224702671397e-4
Chchd3,-0.82355986171138,2.0203711357569e-6,1.46822639301435e-4
Bmt2,1.42513975034781,2.05645820760511e-6,1.48765784151192e-4
Cers2,-0.780009990795709,2.0608161099799e-6,1.48765784151192e-4
Sdhaf1,1.57456676874572,2.0635306900548e-6,1.48765784151192e-4
Eaf1,-0.919816323135541,2.09579950009254e-6,1.50692419611151e-4
